Seed	Iterations	Most_Frequent	Frequency
1637	59	9600	2
1638	13	9600	2
1639	16	4100	2
1640	95	6100	2
1641	92	6100	2
1642	62	6100	2
1643	53	9600	2
1644	79	6100	2
1645	86	6100	2
1646	55	4100	2
1647	66	6100	2
1648	49	4100	2
1649	63	4100	2
1650	7	0000	1
1651	80	4100	2
1652	27	6100	2
1653	13	4100	2
1654	60	4100	2
1655	69	4100	2
1656	11	0000	1
1657	50	6100	2
1658	52	4100	2
1659	17	0000	1
1660	83	6100	2
1661	105	4100	2
1662	88	4100	2
1663	31	8100	2
1664	48	6100	2
1665	33	4100	2
1666	6	9600	2
1667	67	4100	2
1668	10	6100	2
1669	93	4100	2
1670	61	6100	2
1671	9	2100	2
1672	93	6100	2
1673	84	6100	2
1674	39	0000	1
1675	60	6100	2
1676	26	0001	1
1677	78	6100	2
1678	52	6100	2
1679	47	4100	2
1680	58	4100	2
1681	47	0240	1
1682	19	0005	1
1683	10	0000	1
1684	44	0000	1
1685	39	4100	2
1686	35	6100	2
1687	106	4100	2
1688	78	4100	2
1689	17	3600	2
1690	43	0000	1
1691	62	4100	2
1692	7	0000	1
1693	80	4100	2
1694	54	9600	2
1695	13	3600	2
1696	11	0000	1
1697	85	4100	2
1698	4	0000	1
1699	36	0000	1
1700	5	2100	2
1701	38	6100	2
1702	44	6100	2
1703	25	9600	2
1704	55	6100	2
1705	91	6100	2
1706	73	6100	2
1707	5	5030	2
1708	45	6100	2
1709	7	6100	2
1710	32	4100	2
1711	23	0000	1
1712	53	6100	2
1713	5	2916	2
1714	12	0000	1
1715	47	9600	2
1716	61	9600	2
1717	13	1600	2
1718	61	6100	2
1719	75	6100	2
1720	47	6100	2
1721	13	3600	2
1722	61	6100	2
1723	56	4100	2
1724	75	4100	2
1725	30	0000	1
1726	9	4100	2
1727	76	4100	2
1728	87	4100	2
1729	53	6100	2
1730	12	4100	2
1731	6	0000	1
1732	5	9600	2
1733	3	0000	1
1734	4	0003	1
1735	67	6100	2
1736	39	4100	2
1737	87	6100	2
1738	53	9600	2
1739	69	6100	2
1740	47	4100	2
1741	60	6100	2
1742	48	6100	2
1743	53	4100	2
1744	63	6100	2
1745	47	4100	2
1746	59	6100	2
1747	28	0000	1
1748	48	0000	1
1749	10	6100	2
1750	42	6100	2
1751	6	0000	1
1752	65	9600	2
1753	37	6100	2
1754	73	6100	2
1755	6	9600	2
1756	55	0000	1
1757	87	6100	2
1758	48	4100	2
1759	44	0000	1
1760	22	8100	2
1761	51	6100	2
1762	96	4100	2
1763	41	4100	2
1764	52	6100	2
1765	55	9600	2
1766	80	6100	2
1767	44	4100	2
1768	43	6100	2
1769	10	9600	2
1770	7	0000	1
1771	66	6100	2
1772	67	4100	2
1773	31	9600	2
1774	10	9600	2
1775	20	4100	2
1776	29	0000	1
1777	28	0000	1
1778	83	6100	2
1779	50	4100	2
1780	45	3317	1
1781	76	6100	2
1782	7	9600	2
1783	14	0002	1
1784	20	3600	2
1785	28	0001	1
1786	47	6100	2
1787	31	4100	2
1788	11	0006	1
1789	7	1600	2
1790	13	2041	1
1791	54	4100	2
1792	45	0000	1
1793	51	6100	2
1794	26	9600	2
1795	28	0000	1
1796	59	6100	2
1797	50	9600	2
1798	14	9600	2
1799	37	4100	2
1800	2	7600	2
1801	42	0000	1
1802	52	6100	2
1803	6	4100	2
1804	62	4100	2
1805	68	4100	2
1806	33	6100	2
1807	51	0000	1
1808	57	6100	2
1809	50	3317	1
1810	66	4100	2
1811	93	6100	2
1812	64	6100	2
1813	84	6100	2
1814	22	4100	2
1815	35	6100	2
1816	56	9600	2
1817	91	6100	2
1818	49	6100	2
1819	13	0000	1
1820	66	4100	2
1821	64	9600	2
1822	30	9600	2
1823	58	4100	2
1824	17	4100	2
1825	50	6100	2
1826	19	3600	2
1827	56	6100	2
1828	50	9600	2
1829	58	4100	2
1830	8	0000	1
1831	39	4100	2
1832	31	9600	2
1833	65	4100	2
1834	73	6100	2
1835	58	4100	2
1836	8	6100	2
1837	44	6100	2
1838	47	0000	1
1839	77	6100	2
1840	54	6100	2
1841	31	0000	1
1842	7	2500	2
1843	28	6100	2
1844	6	0000	1
1845	12	3600	2
1846	77	4100	2
1847	30	0000	1
1848	11	8100	2
1849	24	4100	2
1850	17	8100	2
1851	57	4100	2
1852	50	4100	2
1853	40	9600	2
1854	27	6100	2
1855	98	6100	2
1856	20	9600	2
1857	56	4100	2
1858	30	0000	1
1859	51	9600	2
1860	67	4100	2
1861	35	0000	1
1862	27	0001	1
1863	86	6100	2
1864	41	9600	2
1865	17	9600	2
1866	61	6100	2
1867	32	6100	2
1868	37	0000	1
1869	57	6100	2
1870	85	4100	2
1871	6	3600	2
1872	65	4100	2
1873	16	0000	1
1874	74	6100	2
1875	14	0000	1
1876	33	0000	1
1877	18	6100	2
1878	53	6100	2
1879	75	4100	2
1880	7	0000	1
1881	47	9600	2
1882	58	4100	2
1883	84	6100	2
1884	56	6100	2
1885	52	0000	1
1886	62	4100	2
1887	17	0001	1
1888	27	9600	2
1889	57	9600	2
1890	49	6100	2
1891	86	6100	2
1892	28	0000	1
1893	57	6100	2
1894	64	6100	2
1895	12	0000	1
1896	79	6100	2
1897	46	6100	2
1898	56	9600	2
1899	59	6100	2
1900	4	6100	2
1901	23	6100	2
1902	56	6100	2
1903	35	4100	2
1904	34	4100	2
1905	12	9600	2
1906	31	0000	1
1907	67	4100	2
1908	15	6100	2
1909	5	0100	2
1910	4	0000	1
1911	87	4100	2
1912	7	0000	1
1913	15	3600	2
1914	18	2100	2
1915	14	0000	1
1916	70	6100	2
1917	46	9600	2
1918	22	0000	1
1919	26	6100	2
1920	15	0000	1
1921	6	7600	2
1922	38	6100	2
1923	3	0000	1
1924	12	0000	1
1925	70	4100	2
1926	25	0000	1
1927	51	4100	2
1928	25	0000	1
1929	68	6100	2
1930	48	9600	2
1931	6	0000	1
1932	54	3317	1
1933	30	4100	2
1934	19	0000	1
1935	27	4100	2
1936	60	6100	2
1937	50	9600	2
1938	53	4100	2
1939	72	6100	2
1940	18	0000	1
1941	31	9600	2
1942	51	0000	1
1943	20	8100	2
1944	12	0001	1
1945	60	4100	2
1946	37	6100	2
1947	40	4100	2
1948	14	0000	1
1949	13	2100	2
1950	21	0000	1
1951	19	4100	2
1952	11	0000	1
1953	54	9600	2
1954	31	6100	2
1955	50	4100	2
1956	32	0000	1
1957	62	4100	2
1958	41	9600	2
1959	44	6100	2
1960	17	5600	2
1961	88	4100	2
1962	37	4100	2
1963	44	6100	2
1964	78	6100	2
1965	35	4100	2
1966	27	6100	2
1967	54	6100	2
1968	13	3600	2
1969	10	0006	1
1970	83	6100	2
1971	97	4100	2
1972	12	8100	2
1973	17	6100	2
1974	72	4100	2
1975	51	6100	2
1976	44	6100	2
1977	58	4100	2
1978	55	0240	1
1979	67	4100	2
1980	57	6100	2
1981	54	4100	2
1982	49	4100	2
1983	47	9600	2
1984	48	4100	2
1985	61	4100	2
1986	15	6100	2
1987	58	6100	2
1988	50	6100	2
1989	13	6100	2
1990	47	0000	1
1991	50	6100	2
1992	57	9600	2
1993	38	0576	1
1994	33	0000	1
1995	6	1600	2
1996	78	6100	2
1997	30	8100	2
1998	85	4100	2
1999	45	6100	2
2000	0	0000	1
2001	3	0000	1
2002	5	0000	1
2003	44	4100	2
2004	23	0000	1
2005	6	1600	2
2006	5	0000	1
2007	18	4100	2
2008	61	6100	2
2009	24	9600	2
2010	64	4100	2
2011	14	0000	1
2012	86	4100	2
2013	34	4100	2
2014	57	6100	2
2015	20	0002	1
2016	43	6100	2
2017	35	4100	2
2018	56	3317	1
2019	56	6100	2
2020	42	4100	2
2021	22	4100	2
2022	9	4100	2
2023	54	4100	2
2024	53	4100	2
2025	45	4100	2
2026	96	4100	2
2027	37	6100	2
2028	63	4100	2
2029	80	6100	2
2030	22	5600	2
2031	5	5600	2
2032	69	4100	2
2033	8	0100	2
2034	51	4100	2
2035	6	2500	2
2036	90	4100	2
2037	50	6100	2
2038	56	9600	2
2039	24	8100	2
2040	72	4100	2
2041	12	0000	1
2042	86	4100	2
2043	54	9600	2
2044	51	4100	2
2045	67	4100	2
2046	36	0000	1
2047	57	6100	2
2048	21	8100	2
2049	49	4100	2
2050	46	4100	2
2051	51	4100	2
2052	30	0000	1
2053	51	6100	2
2054	75	6100	2
2055	29	4100	2
2056	13	2100	2
2057	102	4100	2
2058	75	6100	2
2059	36	0000	1
2060	42	0000	1
2061	34	3317	1
2062	18	0000	1
2063	26	4100	2
2064	2	7600	2
2065	57	6100	2
2066	50	4100	2
2067	50	3317	1
2068	19	6100	2
2069	53	6100	2
2070	81	6100	2
2071	84	6100	2
2072	11	1600	2
2073	76	6100	2
2074	91	6100	2
2075	32	8100	2
2076	53	4100	2
2077	45	6100	2
2078	55	6100	2
2079	58	4100	2
2080	65	4100	2
2081	71	6100	2
2082	55	4100	2
2083	28	4100	2
2084	81	4100	2
2085	53	6100	2
2086	38	4100	2
2087	7	7600	2
2088	70	6100	2
2089	83	6100	2
2090	54	4100	2
2091	49	4100	2
2092	28	0001	1
2093	33	6100	2
2094	61	4100	2
2095	11	5600	2
2096	79	4100	2
2097	82	6100	2
2098	41	9600	2
2099	67	4100	2
2100	4	4100	2
2101	33	0000	1
2102	30	9600	2
2103	59	6100	2
2104	27	6100	2
2105	89	6100	2
2106	88	6100	2
2107	29	0000	1
2108	68	6100	2
2109	11	5600	2
2110	30	0000	1
2111	50	6100	2
2112	44	0000	1
2113	40	6100	2
2114	54	9600	2
2115	14	0000	1
2116	11	2100	2
2117	55	4100	2
2118	23	9600	2
2119	77	4100	2
2120	27	8100	2
2121	40	4100	2
2122	54	6100	2
2123	9	3600	2
2124	10	2916	2
2125	14	0000	1
2126	21	6100	2
2127	74	4100	2
2128	6	8100	2
2129	11	3600	2
2130	50	6100	2
2131	62	6100	2
2132	71	6100	2
2133	44	0000	1
2134	49	0000	1
2135	55	3317	1
2136	83	4100	2
2137	46	4100	2
2138	11	4100	2
2139	7	0027	1
2140	28	0000	1
2141	42	9600	2
2142	40	4100	2
2143	82	4100	2
2144	28	9600	2
2145	78	4100	2
2146	59	9600	2
2147	84	6100	2
2148	50	6100	2
2149	70	6100	2
2150	7	5600	2
2151	10	3600	2
2152	76	4100	2
2153	77	6100	2
2154	62	6100	2
2155	8	7600	2
2156	87	6100	2
2157	92	6100	2
2158	25	6100	2
2159	24	6100	2
2160	26	0005	1
2161	19	4100	2
2162	67	4100	2
2163	79	4100	2
2164	25	6100	2
2165	62	6100	2
2166	27	4100	2
2167	12	0012	1
2168	19	4100	2
2169	71	6100	2
2170	51	4100	2
2171	68	6100	2
2172	24	8100	2
2173	78	6100	2
2174	50	6100	2
